Incident_ID,Date,Location,Department,Object_Type,Severity,Incident_Count,Shift,Inspection_Type,Weather_Condition
1,2023-01-01 00:00:00,Assembly Line,Quality,Glass,High,3,Morning,Routine,Humid
2,2023-01-01 01:00:00,Warehouse,Quality,Rubber,Low,6,Morning,Routine,Clear
3,2023-01-01 02:00:00,Hangar,Quality,Tools,Low,4,Morning,Routine,Clear
4,2023-01-01 03:00:00,Warehouse,Logistics,Metal Scrap,Low,1,Night,Random,Dusty
5,2023-01-01 04:00:00,Warehouse,Quality,Rubber,High,1,Evening,Routine,Dusty
6,2023-01-01 05:00:00,Taxiway,Production,Plastic,Low,2,Morning,Audit,Clear
7,2023-01-01 06:00:00,Hangar,Quality,Metal Scrap,High,6,Morning,Random,Humid
8,2023-01-01 07:00:00,Hangar,Maintenance,Tools,Low,8,Night,Routine,Clear
9,2023-01-01 08:00:00,Hangar,Maintenance,Plastic,Medium,1,Evening,Routine,Clear
10,2023-01-01 09:00:00,Warehouse,Maintenance,Metal Scrap,Low,7,Night,Routine,Clear
11,2023-01-01 10:00:00,Assembly Line,Quality,Metal Scrap,Medium,2,Evening,Routine,Clear
12,2023-01-01 11:00:00,Hangar,Production,Tools,Low,1,Evening,Audit,Humid
13,2023-01-01 12:00:00,Warehouse,Production,Metal Scrap,Low,1,Night,Audit,Clear
14,2023-01-01 13:00:00,Taxiway,Quality,Metal Scrap,Medium,1,Evening,Routine,Rainy
15,2023-01-01 14:00:00,Assembly Line,Quality,Metal Scrap,Low,6,Evening,Audit,Humid
16,2023-01-01 15:00:00,Taxiway,Logistics,Rubber,Low,2,Evening,Random,Clear
17,2023-01-01 16:00:00,Assembly Line,Quality,Plastic,Low,7,Morning,Random,Clear
18,2023-01-01 17:00:00,Warehouse,Maintenance,Tools,Low,2,Morning,Routine,Rainy
19,2023-01-01 18:00:00,Runway,Logistics,Tools,Low,2,Morning,Routine,Clear
20,2023-01-01 19:00:00,Assembly Line,Logistics,Plastic,Low,4,Evening,Routine,Dusty
21,2023-01-01 20:00:00,Taxiway,Quality,Tools,Low,2,Morning,Routine,Humid
22,2023-01-01 21:00:00,Warehouse,Quality,Metal Scrap,Low,2,Morning,Random,Clear
23,2023-01-01 22:00:00,Assembly Line,Logistics,Plastic,Medium,5,Morning,Routine,Dusty
24,2023-01-01 23:00:00,Runway,Logistics,Metal Scrap,Medium,4,Morning,Audit,Rainy
25,2023-01-02 00:00:00,Runway,Logistics,Tools,Medium,4,Morning,Audit,Dusty
26,2023-01-02 01:00:00,Hangar,Logistics,Rubber,Low,3,Evening,Random,Clear
27,2023-01-02 02:00:00,Hangar,Logistics,Metal Scrap,Low,1,Morning,Routine,Dusty
28,2023-01-02 03:00:00,Taxiway,Production,Plastic,Medium,1,Morning,Random,Humid
29,2023-01-02 04:00:00,Assembly Line,Logistics,Metal Scrap,Low,4,Night,Audit,Dusty
30,2023-01-02 05:00:00,Assembly Line,Logistics,Glass,Medium,4,Evening,Routine,Clear
